date;store;type;pallets
07/may;309;DRY GOODS;9
03/may;309;FRESH GOODS;9
07/may;309;FRESH GOODS;9
04/may;309;DRY GOODS;10
04/may;309;FRESH GOODS;10
06/may;309;FRESH GOODS;10
02/may;309;DRY GOODS;11
03/may;309;DRY GOODS;11
05/may;309;DRY GOODS;11
06/may;309;DRY GOODS;12
03/may;312;FRESH GOODS;5
05/may;312;FRESH GOODS;5
04/may;312;FRESH GOODS;7
05/may;312;DRY GOODS;8
03/may;312;DRY GOODS;9
02/may;312;FRESH GOODS;9
06/may;312;FRESH GOODS;9
04/may;312;DRY GOODS;10
07/may;312;DRY GOODS;10
06/may;312;DRY GOODS;11
07/may;312;FRESH GOODS;13
02/may;312;DRY GOODS;16
05/may;313;FRESH GOODS;7
06/may;313;FRESH GOODS;8
02/may;313;FRESH GOODS;9
03/may;313;FRESH GOODS;9
07/may;313;DRY GOODS;10
02/may;313;DRY GOODS;11
03/may;313;DRY GOODS;11
07/may;313;FRESH GOODS;11
04/may;313;DRY GOODS;12
06/may;313;DRY GOODS;12
05/may;313;DRY GOODS;13
04/may;313;FRESH GOODS;19
03/may;320;FRESH GOODS;8
06/may;320;FRESH GOODS;8
02/may;320;FRESH GOODS;10
04/may;320;FRESH GOODS;10
07/may;320;FRESH GOODS;10
02/may;320;DRY GOODS;12
06/may;320;DRY GOODS;12
07/may;320;DRY GOODS;12
03/may;320;DRY GOODS;13
04/may;320;DRY GOODS;14
05/may;320;DRY GOODS;14
05/may;320;FRESH GOODS;16
03/may;321;FRESH GOODS;6
05/may;321;FRESH GOODS;6
04/may;321;FRESH GOODS;8
07/may;321;FRESH GOODS;8
05/may;321;DRY GOODS;10
02/may;321;FRESH GOODS;10
06/may;321;FRESH GOODS;10
02/may;321;DRY GOODS;11
06/may;321;DRY GOODS;19
04/may;321;DRY GOODS;33
07/may;321;DRY GOODS;38
03/may;321;DRY GOODS;47
02/may;322;FRESH GOODS;7
07/may;322;FRESH GOODS;7
04/may;322;FRESH GOODS;8
05/may;322;FRESH GOODS;8
03/may;322;FRESH GOODS;9
05/may;322;DRY GOODS;11
06/may;322;DRY GOODS;11
02/may;322;DRY GOODS;12
03/may;322;DRY GOODS;12
07/may;322;DRY GOODS;12
04/may;322;DRY GOODS;13
06/may;322;FRESH GOODS;16
02/may;323;FRESH GOODS;6
03/may;323;FRESH GOODS;8
05/may;323;FRESH GOODS;9
04/may;323;FRESH GOODS;10
06/may;323;FRESH GOODS;10
07/may;323;FRESH GOODS;10
04/may;323;DRY GOODS;11
06/may;323;DRY GOODS;11
03/may;323;DRY GOODS;12
05/may;323;DRY GOODS;13
02/may;323;DRY GOODS;20
04/may;327;FRESH GOODS;8
05/may;327;FRESH GOODS;9
02/may;327;FRESH GOODS;10
03/may;327;FRESH GOODS;10
06/may;327;DRY GOODS;11
07/may;327;FRESH GOODS;12
02/may;327;DRY GOODS;13
03/may;327;DRY GOODS;13
07/may;327;DRY GOODS;13
04/may;327;DRY GOODS;14
05/may;327;DRY GOODS;14
06/may;327;FRESH GOODS;14
07/may;331;DRY GOODS;13
03/may;331;FRESH GOODS;13
04/may;331;FRESH GOODS;13
05/may;331;FRESH GOODS;13
04/may;331;DRY GOODS;15
07/may;331;FRESH GOODS;15
06/may;331;DRY GOODS;16
03/may;331;DRY GOODS;17
06/may;331;FRESH GOODS;17
02/may;331;DRY GOODS;20
02/may;331;FRESH GOODS;20
05/may;331;DRY GOODS;69
02/may;335;FRESH GOODS;8
03/may;335;FRESH GOODS;8
04/may;335;FRESH GOODS;9
05/may;335;FRESH GOODS;10
06/may;335;FRESH GOODS;10
07/may;335;FRESH GOODS;11
04/may;335;DRY GOODS;12
03/may;335;DRY GOODS;13
05/may;335;DRY GOODS;13
02/may;335;DRY GOODS;14
06/may;335;DRY GOODS;14
07/may;335;DRY GOODS;14
02/may;336;FRESH GOODS;9
03/may;336;FRESH GOODS;9
04/may;336;FRESH GOODS;9
06/may;336;FRESH GOODS;11
02/may;336;DRY GOODS;12
03/may;336;DRY GOODS;12
05/may;336;FRESH GOODS;12
04/may;336;DRY GOODS;13
05/may;336;DRY GOODS;14
06/may;336;DRY GOODS;14
07/may;336;DRY GOODS;14
07/may;336;FRESH GOODS;16
03/may;375;FRESH GOODS;10
02/may;375;FRESH GOODS;11
04/may;375;FRESH GOODS;12
05/may;375;FRESH GOODS;14
07/may;375;FRESH GOODS;14
06/may;375;FRESH GOODS;16
04/may;375;DRY GOODS;18
03/may;375;DRY GOODS;19
06/may;375;DRY GOODS;19
07/may;375;DRY GOODS;19
02/may;375;DRY GOODS;22
05/may;375;DRY GOODS;26
03/may;379;FRESH GOODS;13
04/may;379;FRESH GOODS;14
02/may;379;FRESH GOODS;16
05/may;379;FRESH GOODS;18
07/may;379;FRESH GOODS;18
06/may;379;FRESH GOODS;19
03/may;379;DRY GOODS;25
02/may;379;DRY GOODS;26
07/may;379;DRY GOODS;26
04/may;379;DRY GOODS;27
05/may;379;DRY GOODS;30
06/may;379;DRY GOODS;31
02/may;389;FRESH GOODS;11
